Date,1st Service,2nd Service,third xmas,single service,Services,Day of Week,Secular Holiday,Religious Holiday,Alternate Pastor,Church Event,Weather Event,Precipitation,Snow,SnowDepth,DougCtySchoolOut
5/29/16,42,45,,Pre,2,1,1,0,1,1,0,0,0,0,0
6/5/16,55,78,,Pre,2,1,0,0,0,0,0,0,0,0,0
6/12/16,62,80,,Pre,2,1,0,0,0,0,0,0,0,0,0
6/19/16,60,78,,Pre,2,1,1,0,0,0,0,0,0,0,0
6/26/16,66,56,,Pre,2,1,0,0,0,0,0,0,0,0,1
7/3/16,56,52,,Pre,2,1,1,0,0,0,0,0.03,0,0,1
7/10/16,49,54,,Pre,2,1,0,0,1,0,0,0,0,0,1
7/17/16,,,,Pre,2,1,,,,,0,0,0,0,1
7/24/16,38,58,,Pre,2,1,0,0,1,0,0,0.02,0,0,1
7/31/16,62,57,,Pre,2,1,0,0,0,0,0,0,0,0,1
8/7/16,84,50,,Pre,2,1,0,0,0,0,0,,,,1
8/14/16,88,51,,Pre,2,1,0,0,0,0,0,,,,1
8/21/16,66,87,,Pre,2,1,0,0,0,0,0,,,,1
8/28/16,68,67,,Pre,2,1,0,0,0,0,0,,,,1
9/4/16,48,27,,Pre,2,1,1,0,0,0,0,0,0,0,1
9/11/16,63,51,,Pre,2,1,0,0,1,0,0,0,0,0,0
9/18/16,57,35,,Pre,2,1,0,0,0,0,0,0,0,0,0
9/25/16,51,38,,Pre,2,1,0,0,0,0,0,0,0,0,0
10/2/16,55,64,,Pre,2,1,0,0,0,0,0,0,0,0,0
10/9/16,57,67,,Pre,2,1,0,0,0,0,0,0,0,0,0
10/16/16,58,72,,Pre,2,1,0,0,0,0,0,0,0,0,0
10/23/16,53,61,,Pre,2,1,0,0,0,0,0,0,0,0,0
10/30/16,45,100,,Pre,2,1,0,1,0,0,0,0,0,0,0
11/6/16,69,50,,Pre,2,1,0,1,0,0,0,0,0,0,0
11/13/16,73,52,,Pre,2,1,0,0,0,0,0,0,0,0,0
11/20/16,63,59,,Pre,2,1,0,0,0,0,0,0,0,0,1
11/23/16,82,,,Pre,1,4,1,0,0,0,0,0.2,1.2,0.5,1
11/27/16,79,43,,Pre,2,1,0,0,0,0,0,0,0,0,1
11/30/16,47,,,Pre,1,4,0,1,0,0,0,,,,0
12/4/16,82,51,,Pre,2,1,0,0,1,0,0,,,,0
12/7/16,63,,,Pre,1,4,0,1,0,0,0,0.05,1.1,1,0
12/11/16,54,73,,Pre,2,1,0,0,0,0,0,0.02,0.3,0.5,0
12/14/16,60,,,Pre,1,4,0,1,0,0,0,,,,0
12/18/16,45,122,,Pre,2,1,0,0,0,0,0,0.02,0.4,5,0
12/21/16,51,,,Pre,1,4,0,1,0,0,0,0,0,1,1
12/24/16,124,91,71,Pre,3,7,0,1,0,0,0,0,0,0,1
12/25/16,53,,,Pre,1,1,0,1,0,0,0,0.03,0,0,1
1/1/17,66,,,Pre,1,1,0,0,0,1,0,,,,1
1/6/17,66,,,Pre,1,6,0,1,0,0,0,0.02,0.3,2,0
1/8/17,92,59,,Pre,2,1,0,0,0,0,0,,,,0
